"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2022-02-25",147,150.679993,145.009995,150.669998,1949000,150.00116
"2022-02-28",147.220001,150.149994,144.880005,148.860001,3213000,148.199203
"2022-03-01",147.369995,148.220001,141.050003,142.169998,3158400,141.538879
"2022-03-02",143.800003,147,143.800003,145.910004,2066600,145.262299
"2022-03-03",148.130005,148.839996,141,142.009995,2685700,141.379593
"2022-03-04",139.929993,141.100006,133.259995,137.669998,4509900,137.058884
"2022-03-07",137.839996,138,128.770004,129.089996,4207900,128.516953
"2022-03-08",130.970001,138.190002,128.869995,133.919998,5031700,133.325531
"2022-03-09",138.5,140.669998,137.460007,138.520004,3171000,137.905106
"2022-03-10",135.490005,144.330002,135.199997,142.940002,3309500,142.305496
"2022-03-11",144.580002,145.800003,141.529999,141.770004,1684700,141.140686
"2022-03-14",143.190002,143.910004,140.25,141.559998,1586700,140.93161
"2022-03-15",143.490005,145.720001,142.419998,144.240005,1581600,143.599716
"2022-03-16",146.220001,151.089996,145.710007,150.789993,4292600,150.120636
"2022-03-17",147.639999,151.229996,147.639999,151.139999,1668200,150.46907
"2022-03-18",150.210007,153.25,149.220001,151.789993,3060200,151.11618
"2022-03-21",150.559998,151.100006,148.020004,150.350006,1855900,149.682587
"2022-03-22",151.710007,153.490005,149.710007,151.419998,2190600,150.747833
"2022-03-23",149.570007,150.850006,148.369995,148.410004,1267500,147.751221
"2022-03-24",148.410004,152.050003,147.759995,151.889999,1179900,151.215759
"2022-03-25",152.210007,153.839996,150.960007,151.5,1074600,150.827499
"2022-03-28",152,152.119995,149.009995,150.679993,1250800,150.011124
"2022-03-29",153.600006,156.070007,153.080002,155.309998,2518400,154.62056
"2022-03-30",153.820007,155.770004,152.520004,153.149994,1709600,152.470154
"2022-03-31",152.740005,155.100006,151.529999,151.740005,1814800,151.066437
"2022-04-01",153.110001,153.839996,149.850006,150.710007,1465100,150.041016
"2022-04-04",150,152.910004,148.979996,152.339996,1775200,151.663757
"2022-04-05",152.660004,153.649994,150.210007,151.550003,1595700,150.877274
"2022-04-06",150.009995,150.009995,144.809998,145.610001,2031600,144.963638
"2022-04-07",145.300003,146.440002,142.149994,145.550003,3278700,144.9039
"2022-04-08",144.710007,147.050003,143.839996,145.479996,1646700,144.834198
"2022-04-11",144.300003,147.190002,143.630005,143.699997,1165000,143.062119
"2022-04-12",145,146.949997,143.850006,144.880005,1698100,144.236862
"2022-04-13",146.410004,154.279999,145.669998,153.929993,2502500,153.246689
"2022-04-14",154.460007,157.330002,153.899994,155.580002,2351200,154.889374
"2022-04-18",155.740005,160.020004,155.059998,156.570007,1463700,155.875
"2022-04-19",157.380005,163.350006,156.679993,163.139999,2204000,162.415817
"2022-04-20",163.800003,166.220001,162.770004,162.910004,2113100,162.186829
"2022-04-21",166.710007,167.990005,156.809998,156.960007,2268000,156.26326
"2022-04-22",156,157.490005,152.929993,153.350006,1694100,152.669281
"2022-04-25",152.960007,156.279999,150.600006,155.940002,2331000,155.247787
"2022-04-26",155.110001,156.850006,151.289993,151.720001,1847200,151.046494
"2022-04-27",151.690002,157.75,150.919998,157.059998,2516000,156.362793
"2022-04-28",158.830002,162.550003,156.699997,161.220001,1777700,160.504333
"2022-04-29",161.039993,162.059998,154.929993,155.289993,2194400,154.600662
"2022-05-02",158.029999,158.779999,150.830002,155.410004,3287800,154.720139
"2022-05-03",153.119995,154.699997,145.660004,148.960007,5154900,148.298752
"2022-05-04",148.990005,151.639999,143.740005,151.389999,3773900,150.717972
"2022-05-05",149.570007,153.139999,148.229996,149.889999,3921800,149.22464
"2022-05-06",149.75,150,142.160004,143.479996,3611500,142.843063
"2022-05-09",142.550003,142.559998,132.5,133.309998,4418900,132.718246
"2022-05-10",135.860001,139.800003,135.059998,137.789993,3207800,137.178345
