"SP500.203020.Open","SP500.203020.High","SP500.203020.Low","SP500.203020.Close","SP500.203020.Volume","SP500.203020.Adjusted","Date"
279.100006,282.480011,271.769989,272.23999,66674700,272.23999,"2021-05-12"
274.049988,281.059998,273.380005,279.51001,67148500,279.51001,"2021-05-13"
284.690002,293.970001,283.829987,292.910004,73983800,292.910004,"2021-05-14"
291.350006,297.329987,287.51001,296.769989,76524100,296.769989,"2021-05-17"
298.570007,303.200012,294.850006,296.420013,69286600,296.420013,"2021-05-18"
289.970001,292.609985,286.100006,290.799988,70023800,290.799988,"2021-05-19"
291.820007,291.820007,283.899994,287.190002,65826000,287.190002,"2021-05-20"
289.51001,290.869995,286.649994,287.130005,52242100,287.130005,"2021-05-21"
289.079987,292.470001,285.779999,291.630005,48506500,291.630005,"2021-05-24"
297.619995,302.709991,292.410004,293.070007,96904400,293.070007,"2021-05-25"
295.359985,298.470001,293.940002,298.149994,56397300,298.149994,"2021-05-26"
300.76001,302.48999,297.279999,302.149994,62186900,302.149994,"2021-05-27"
301.279999,302.549988,298.119995,299.630005,57623900,299.630005,"2021-05-28"
302.390015,306.070007,300.059998,301.51001,69150100,301.51001,"2021-06-01"
303.049988,304.890015,301.220001,302.829987,85555700,302.829987,"2021-06-02"
298.730011,298.859985,290.790009,291.140015,75089900,291.140015,"2021-06-03"
292.679993,293.850006,287.73999,289.540009,56314200,289.540009,"2021-06-04"
290.609985,292.600006,288.420013,289.549988,41652300,289.549988,"2021-06-07"
292.600006,294.76001,289.029999,292.809998,53271800,292.809998,"2021-06-08"
294,294.350006,289.440002,289.809998,40392700,289.809998,"2021-06-09"
292.549988,294.109985,285.309998,286.130005,56098900,286.130005,"2021-06-10"
286.329987,288.470001,285.829987,287.170013,49801300,287.170013,"2021-06-11"
286.589996,289.089996,282.619995,283.679993,48570400,283.679993,"2021-06-14"
283.48999,285.51001,280.140015,281.98999,42193700,281.98999,"2021-06-15"
282.070007,284.410004,279.109985,281.450012,45536000,281.450012,"2021-06-16"
281.959991,284.23999,272.51001,275.329987,64903100,275.329987,"2021-06-17"
272.609985,278.640015,271.829987,276.320007,66867200,276.320007,"2021-06-18"
277.309998,281.579987,275.959991,281.070007,53871900,281.070007,"2021-06-21"
280.029999,280.48999,275.070007,278.149994,47233600,278.149994,"2021-06-22"
278,278.709991,275.980011,277.040009,42182400,277.040009,"2021-06-23"
278.470001,278.809998,273.600006,275.059998,52543600,275.059998,"2021-06-24"
275,275.700012,272.309998,273.309998,58872100,273.309998,"2021-06-25"
270.76001,270.820007,262.959991,265.609985,94788100,265.609985,"2021-06-28"
264.119995,267.089996,262.980011,263.380005,62896900,263.380005,"2021-06-29"
263.589996,266.829987,263.049988,264.75,53941900,264.75,"2021-06-30"
267.23999,271.429993,266.820007,269.279999,49741400,269.279999,"2021-07-01"
269.609985,269.769989,266.140015,268.25,43593100,268.25,"2021-07-02"
268.579987,270.470001,260.690002,262.049988,51738100,262.049988,"2021-07-06"
259.299988,263.339996,254.389999,256.48999,66401700,256.48999,"2021-07-07"
